ID_Ressource,Type_Ressource,Disponibilite,Utilisation
1,dream,True,Know size add soon land yes.
2,there,True,Society table police interesting challenge book.
3,pick,True,Apply more director service.
4,note,True,Garden involve recent role term mother leave.
5,soldier,False,Wind player happy enter method finally.
6,spend,True,Public reason discussion food.
7,one,False,Gun sell wear another put.
8,surface,False,Effort present expect level science thank.
9,indicate,True,Born war child require.
10,despite,False,Experience Mr she room man vote safe.
11,know,False,Late top huge deal.
12,former,False,Population question coach college court.
13,energy,False,Much rate standard today government actually myself.
14,item,False,Parent hit east among.
15,security,True,Resource create hit yes without foot.
16,raise,False,Me certain person director summer thing activity.
17,car,False,Method resource how listen.
18,black,True,Method attack interesting writer everything.
19,myself,False,True western energy into stay.
20,particularly,False,Standard these read little people.
21,ever,False,Relate need administration rather sense song prove.
22,generation,True,Poor but Mr whether mention.
23,hotel,True,Them save sound nothing international.
24,place,False,Month simply those share out fill world loss.
25,arrive,False,Study bit style race.
26,hundred,False,Heavy already become rock our.
27,mention,True,Report company car data news difficult.
28,account,False,Clear dog nothing billion wish world process.
29,appear,True,Air turn church thing decide common term.
30,ago,False,Republican news deep.
31,phone,False,Building staff address discover.
32,reality,True,Administration reality history.
33,rather,False,Here and ahead subject others test.
34,page,False,Resource business natural stand country himself behavior.
35,fish,True,True dog need up.
36,surface,True,Political be member another lot.
37,century,False,Situation short nearly catch fire impact.
38,fire,False,First put best about safe yes lead seem.
39,nice,False,About stage everything forget.
40,partner,True,Here street former total animal item to hope.
41,enough,False,Begin actually positive trouble federal.
42,country,True,Remember region through wall.
43,anyone,False,Ability language food human stand.
44,finally,False,Especially peace among past happen no crime information.
45,wife,False,Family cell move nothing perform.
46,however,False,Home learn address doctor.
47,how,False,Newspaper mind play brother more radio.
48,rest,False,Sit authority air sort investment guy such.
49,treatment,True,Lawyer help really door against beautiful it.
50,eye,True,Lawyer white miss next their herself.
51,stock,False,Within network accept want today.
52,weight,True,Various wait six guess member will.
53,sit,True,Leave lead relationship provide.
54,training,True,Major his continue avoid.
55,onto,False,Pull strong necessary exactly part or vote.
56,positive,False,Entire class owner local mention avoid.
57,learn,True,Specific think tree.
58,lawyer,False,Return hand trouble black network.
59,modern,True,Health street animal itself media.
60,item,True,Suddenly center suddenly.
61,apply,True,Market a off visit anyone place.
62,general,True,Understand together improve week least.
63,strategy,False,Still everything ten yeah me.
64,least,False,Particularly thought those evidence around magazine present.
65,everybody,True,Consumer read response drive carry information hope.
66,color,False,Under some health loss arrive goal none.
67,address,False,Before off window particular.
68,ten,False,Though body staff beat control ball they.
69,street,True,Dinner stage soldier apply notice current.
70,word,False,Left special order.
71,foreign,True,Above low town.
72,forward,False,Theory off fine represent.
73,land,True,Dinner position something miss including.
74,treatment,False,Of tend include capital either what she.
75,himself,True,Student because person return understand within.
76,might,False,Source specific bar top rise.
77,something,True,Along forward child simple.
78,level,True,Idea range attention throughout degree think so growth.
79,grow,True,Model thing drop the character.
80,note,False,Art television without itself seat language open.
81,wait,True,Wrong you through us me.
82,air,False,Field computer son him wonder traditional why.
83,own,True,Image case answer free knowledge.
84,little,True,Until relate hour large friend bag.
85,stay,True,City north role act alone view.
86,foot,True,Blue management record room program outside.
87,special,False,Between bar beyond single walk.
88,from,True,Over rather central south.
89,do,True,Radio approach reflect collection agency response.
90,dark,True,Try fire turn environmental wait radio.
91,station,False,Throw project consider.
92,move,True,Size tonight ground while action teacher.
93,support,True,Bad book Democrat.
94,politics,False,Trade get something rather.
95,air,False,Employee plant pay allow executive what manage share.
96,large,False,Suddenly less nearly us remain.
97,case,True,Purpose popular tree project stop answer work explain.
98,eight,False,Democratic fight return data today budget everyone call.
99,tough,True,There into media.
100,stay,False,Ask myself phone travel western.
101,hope,False,They pattern company nation get seek.
102,evening,False,Rather future animal hold almost imagine.
103,successful,False,Notice officer popular huge investment trial station.
104,interview,False,Available hit keep enjoy.
105,type,False,You may reason by threat.
106,I,False,Production now eye ok white.
107,step,False,Technology after hotel learn serve suffer.
108,case,True,Foreign design plan stock authority defense.
109,too,False,Finish candidate hospital experience least effort.
110,property,False,Article cost water reflect change smile film task.
111,create,True,Address skin number poor.
112,speech,True,Stuff another each PM where new.
113,kid,False,Member drug charge total because hotel.
114,great,True,Some pattern according to free.
115,school,True,Free theory none so myself follow not.
116,figure,True,Because order order interest.
117,arm,False,House discuss successful industry.
118,boy,False,Something those center have.
119,industry,True,Cost eight work three reason call traditional.
120,project,True,Before general class require.
121,good,False,Accept country red collection positive part produce.
122,PM,True,Good travel size mission.
123,political,False,Reveal rather not its significant me deep.
124,hand,False,Forward nearly room thing notice less.
125,drop,True,Cold real high might remember seek significant.
126,wish,False,Long she record teach attack.
127,argue,False,Participant choice training look common meeting.
128,act,False,Which financial apply benefit method collection.
129,run,False,Class approach necessary past Mr personal stuff.
130,work,True,Career watch arrive become everything.
131,Republican,True,Pressure room under team security.
132,large,True,Instead well growth own.
133,college,False,Red pull save same camera.
134,total,True,Without everybody research chance system.
135,culture,False,Response marriage sure camera.
136,by,False,During responsibility among since.
137,continue,True,Me individual though imagine.
138,civil,True,Culture radio station general soldier discuss.
139,financial,False,Lead green total benefit Mr car.
140,course,True,Raise prepare wrong bed.
141,sound,False,Like her part team.
142,success,False,Old what design want.
143,live,True,Enough success score.
144,later,False,At hit class nothing soon.
145,upon,False,Voice information add argue image.
146,mean,True,Why individual wide hotel west theory.
147,rule,False,Himself red upon.
148,realize,True,Now sound gun art.
149,matter,False,Expert several effort prevent kid issue woman range.
150,foreign,False,Show response nothing gas few page cold couple.
151,institution,False,History its street because.
152,center,False,Eight skill program try.
153,south,True,Wait never fly pull big method.
154,four,False,Player western move manage worry wear pay.
155,position,True,Us challenge drive find star be over radio.
156,audience,False,Determine nice source thought result.
157,in,True,Water wind cost hand arm.
158,ahead,True,Door early we we alone ready back.
159,body,False,Summer more if hear responsibility have.
160,bar,True,Sing hospital ready push material somebody husband.
161,cost,True,Return wall trouble friend current.
162,fast,True,Job nor yard establish hit.
163,security,False,Since him southern issue town call computer experience.
164,black,True,Movement traditional of.
165,best,True,True fill beautiful game set other follow vote.
166,hotel,True,High few land both two add thank.
167,whether,True,Carry happy response would enter.
168,together,True,Business sport apply property enter name.
169,most,True,Easy today wait staff feeling.
170,teacher,False,Though degree special laugh include price.
171,enter,True,Difficult which quite adult move rather business.
172,none,False,State turn center build happy near begin.
173,subject,True,Exactly choose guy wide evidence to item.
174,nation,True,Something employee such practice quickly any market.
175,purpose,False,Thank value quality reality.
176,important,False,Someone themselves star development know laugh.
177,as,False,Involve radio image crime about everything artist.
178,according,False,Understand picture ground.
179,soon,False,Sport usually as until.
180,west,True,For mind worker already TV low.
181,not,False,Role assume control leg.
182,administration,True,Build ago feeling whose realize.
183,box,True,Shoulder design huge south.
184,matter,False,Manager clearly along business.
185,per,False,Performance go child simply compare result.
186,name,True,Population offer piece machine early campaign health past.
187,individual,False,Travel chance character really spring.
188,medical,False,Record couple mission part ability.
189,seek,False,Table reality stock site develop government.
190,miss,True,Dinner interview medical will.
191,operation,True,However traditional necessary learn memory home marriage.
192,care,False,Share southern stop customer.
193,deal,False,Better man choose.
194,two,True,Government suddenly statement network.
195,base,True,Question place consumer bed teacher program success.
196,consumer,False,Type seven move election I customer.
197,participant,True,Send capital decide wide describe real.
198,physical,False,Center claim Republican admit.
199,us,False,Senior factor young get.
200,year,True,Child staff yard place contain safe government.
